term,spike_month,spike_rank,median_rank,improve_ratio,is_category
digital camera,2025-11,49,104.0,0.529,False
glp-1,2025-03,49,112.5,0.564,False
pheromones perfumes for women,2025-08,50,127.0,0.606,False
nad,2025-01,50,401.0,0.875,False
christmas pajamas,2025-12,50,5155.5,0.99,False
varicose veins cream,2025-09,50,11492.0,0.996,False
portable fan,2025-06,50,1103.5,0.955,False
the substance,2025-02,50,2640.0,0.981,False
smelling salts,2025-04,50,630.0,0.921,False
stem cell serum for face,2025-10,51,187.5,0.728,False
urolithin a,2025-08,51,1028.5,0.95,False
den of thieves,2025-01,51,11567.5,0.996,False
the final destination,2025-05,51,3884.0,0.987,False
lego sets,2025-12,51,428.0,0.881,False
dog man,2025-03,51,3617.5,0.986,False
easter candy,2025-04,51,13746.5,0.996,False
t,2025-07,51,1040.0,0.951,False
pimple patches,2025-09,52,106.0,0.509,False
my fault: london,2025-03,52,917.0,0.943,False
winter clothing for women,2025-10,53,2337.0,0.977,False
candle warmer lamp,2025-11,53,290.5,0.818,False
patio deals,2025-06,53,137.5,0.615,False
pet hair remover for laundry,2025-05,53,207.0,0.744,False
nad,2025-02,53,401.0,0.868,False
re,2025-03,53,3601.0,0.985,False
landman,2025-03,54,111.5,0.516,False
beats headphones,2025-07,54,120.0,0.55,False
tinnitus relief,2025-08,54,139.0,0.612,False
walking pad,2025-02,54,120.5,0.552,False
hand warmers,2025-01,54,1914.0,0.972,False
nail biting treatment for kids,2025-05,54,158.0,0.658,False
the wild robot,2025-01,55,7475.5,0.993,False
uggs,2025-10,55,457.5,0.88,False
roblox gift card,2025-12,55,222.5,0.753,False
summer dresses for women 2025,2025-04,55,572.5,0.904,False
south park,2025-09,55,574.0,0.904,False
apple watch bands,2025-08,55,1682.0,0.967,False
the chi,2025-05,55,2588.5,0.979,False
jurassic park,2025-02,55,617.0,0.911,False
uggs,2025-11,55,457.5,0.88,False
christmas decorations,2025-12,56,10112.5,0.994,False
nmn,2025-02,56,1440.5,0.961,False
neck wrinkle patches,2025-04,56,311.0,0.82,False
neck wrinkle patches,2025-06,56,311.0,0.82,False
nad+,2025-09,56,16573.5,0.997,False
duplicity,2025-03,56,10216.0,0.995,False
south park,2025-07,56,574.0,0.902,False
pencil pouch,2025-08,56,2676.5,0.979,False
pheromones perfumes for women,2025-01,56,127.0,0.559,False
molecular hydrogen,2025-04,57,43581.5,0.999,False
yellowstone,2025-03,57,639.0,0.911,False
neck massager,2025-12,57,376.5,0.849,False
stye eye treatment,2025-05,57,269.5,0.788,False
