term,spike_month,spike_rank,median_rank,improve_ratio,is_category
mosquito bracelets,2025-07,35944,73500.0,0.511,True
bow earrings for women,2025-11,35946,85701.0,0.581,True
toddler jewelry,2025-12,36030,137595.0,0.738,True
cat earrings,2025-12,36213,98305.0,0.632,True
locket necklace,2025-10,36290,82573.0,0.561,True
gold necklace for women non tarnish,2025-03,36375,73014.0,0.502,True
beaded necklaces for women,2025-07,36407,84534.0,0.569,True
alice in chains vinyl,2025-12,36468,86985.0,0.581,True
mini travel jewelry bag,2025-12,36641,90614.0,0.596,True
hula hoops for adults,2025-07,36652,78611.0,0.534,True
bracelets for teen girls,2025-12,36687,82483.0,0.555,True
womens cross necklace,2025-09,36835,118473.0,0.689,True
boho jewelry,2025-06,36899,91083.0,0.595,True
locket necklace,2025-09,37274,82573.0,0.549,True
gold dangle earrings,2025-09,37857,102968.0,0.632,True
alice in chains vinyl,2025-11,37891,86985.0,0.564,True
toddler jewelry,2025-11,38082,137595.0,0.723,True
heart ring,2025-02,38112,109110.5,0.651,True
girls earrings,2025-11,38275,80480.0,0.524,True
sterling silver anklets for women,2025-06,38297,83387.0,0.541,True
lucky charms marshmallows,2025-03,38313,152071.0,0.748,True
green lantern ring,2025-07,38325,98116.0,0.609,True
crochet ring for finger,2025-01,38354,110042.0,0.651,True
mens cross necklace,2025-09,38584,99431.0,0.612,True
ankle resistance bands with cuffs,2025-01,38649,81444.0,0.525,True
brooches for women,2025-12,38765,78608.5,0.507,True
green lantern ring,2025-08,38955,98116.0,0.603,True
clear earrings for sports,2025-08,38994,78672.0,0.504,True
pandora bracelet charms,2025-12,39224,118961.5,0.67,True
opal necklace,2025-10,39335,98412.0,0.6,True
bead bracelet making kit,2025-12,39507,81156.0,0.513,True
birthstone bracelets for women,2025-05,39813,106637.5,0.627,True
elden ring nightreign,2025-06,39814,120393.5,0.669,True
ankle resistance bands with cuffs,2025-02,40075,81444.0,0.508,True
cubic zirconia earrings studs,2025-02,40100,87302.5,0.541,True
amethyst necklace,2025-02,40484,99525.0,0.593,True
mens cross necklace,2025-12,40493,99431.0,0.593,True
ring conn gen 2,2025-12,40493,87152.5,0.535,True
wine charms,2025-12,40670,142773.0,0.715,True
cubic zirconia earrings studs,2025-01,40858,87302.5,0.532,True
little girl jewelry,2025-12,41126,172862.0,0.762,True
floating belly button rings,2025-05,41246,128214.0,0.678,True
cross necklace for women gold,2025-09,41354,110289.5,0.625,True
mom necklace for women,2025-05,41364,108963.0,0.62,True
women jewelry,2025-12,41574,87671.5,0.526,True
ora ring,2025-11,41766,106557.5,0.608,True
daily bible verse bracelet,2025-01,41799,99674.5,0.581,True
jewelry box for men,2025-12,41817,99050.0,0.578,True
baseball earrings,2025-04,41836,85029.5,0.508,True
alex and ani bracelets,2025-12,41874,166055.0,0.748,True
mom necklace for women,2025-12,41912,108963.0,0.615,True
cubic zirconia earrings studs,2025-03,41942,87302.5,0.52,True
men's bracelets,2025-11,42019,93642.0,0.551,True
gold earrings hoops,2025-12,42096,118803.5,0.646,True
cubic zirconia earrings studs,2025-04,42330,87302.5,0.515,True
morse code bracelets for women,2025-12,42336,86563.0,0.511,True
small jewelry travel case,2025-12,42537,85919.5,0.505,True
gothic necklace,2025-10,43093,138244.0,0.688,True
napkin rings set of 12,2025-12,43231,137685.5,0.686,True
men's bracelets,2025-09,43295,93642.0,0.538,True
ora ring,2025-12,43793,106557.5,0.589,True
scrolling ring,2025-11,43816,92807.0,0.528,True
pandora earrings,2025-12,44066,125545.0,0.649,True
necklaces for teen girls,2025-12,44166,112201.0,0.606,True
bag extender chain,2025-12,44166,126556.0,0.651,True
pandora charms clearance,2025-11,44300,96595.0,0.541,True
mother daughter necklace,2025-12,44671,125988.5,0.645,True
jewelry organizer box,2025-12,44715,115101.5,0.612,True
ours ring,2025-11,44749,98811.0,0.547,True
red necklace,2025-10,44808,93604.0,0.521,True
jewelry for girls,2025-11,44833,114620.5,0.609,True
coach charms,2025-12,44992,112679.0,0.601,True
personalized necklaces for women,2025-12,45135,96788.5,0.534,True
14k gold earrings,2025-12,45153,131211.0,0.656,True
men's bracelets,2025-10,45161,93642.0,0.518,True
crochet tension ring,2025-01,45379,127092.0,0.643,True
jewelry making kit for girls 4-6,2025-12,45422,150881.5,0.699,True
amethyst bracelet,2025-02,45467,108155.5,0.58,True
necklaces for teen girls,2025-01,45720,112201.0,0.593,True
enewton bracelets,2025-12,45807,130243.0,0.648,True
crochet ring for finger,2025-02,45974,110042.0,0.582,True
silver cross necklace,2025-10,46093,95082.5,0.515,True
breast cancer bracelets,2025-09,46103,164984.0,0.721,True
kids jewelry for girls,2025-12,46528,146613.5,0.683,True
elden ring nightreign,2025-02,46819,120393.5,0.611,True
birthstone necklace,2025-11,46826,103357.0,0.547,True
opal necklace,2025-12,46879,98412.0,0.524,True
sterling silver wedding ring set,2025-01,46879,165688.0,0.717,True
waterproof jewelry,2025-07,46902,100546.0,0.534,True
birthstone bracelet,2025-12,46969,156446.5,0.7,True
bag charms for tote bags,2025-08,47172,94405.0,0.5,True
wooden jewelry box,2025-12,47317,95017.5,0.502,True
mini jewelry travel case,2025-12,47550,107681.5,0.558,True
girls earrings ages 8-12 hypoallergenic,2025-12,47603,155217.0,0.693,True
gold earrings hoops,2025-11,47828,118803.5,0.597,True
hand cuffs,2025-10,48468,107193.0,0.548,True
gold plated necklace,2025-12,48683,102038.0,0.523,True
womens cross necklace,2025-12,48751,118473.0,0.589,True
songmics jewelry organizer,2025-01,48880,129224.0,0.622,True
sterling silver chain for men,2025-12,48902,98528.5,0.504,True
m necklace,2025-12,49053,102829.0,0.523,True
gold earrings for women dangle,2025-04,49362,103415.0,0.523,True
brighton jewelry for women,2025-12,49467,104958.5,0.529,True
cross necklace for women gold,2025-10,49469,110289.5,0.551,True
ana luisa jewelry,2025-12,49567,136951.5,0.638,True
